IDENTIFICADOR,NOMBRE_OBRA,BLOQUE_MUNDIAL,CLAVE_EJE,NOMBRE_EJE,PROGRAMA,CLAVE_PROGRAMA,DG,ORIGEN DEL COMPROMISO,YEAR,FECHA ACTUALIZACION,USUARIO ACTUALIZACION,FECHA INAUGURACION,MOTIVO CANCELACION,ESTATUS,AVANCE REAL,RESPONSABLE_DG,TIPO,SUPERFICIE_M2,MATERIAL,OBSERVACIONES,SEGUIMIENTO,geom,URL DE GOOGLE MAPS,CALLE/DOMICILIO,ALCALDIA,COLONIA,clave_unica,id,estatus_registro,motivo_baja,observaciones_baja,fecha_baja,usuario_baja,creado_por,fecha_creacion
39,39 CANCHA CALLE QUETZAL,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGOIV,OBRAS DEL MUNDIAL,2026,2026-05-20 16:58:36.827,admin,2026-03-31,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000F94ECC7A31C258C021753BFBCA5F3340,https://maps.app.goo.gl/ojo3PMZhgngmrvxCA,"ESQUINA QUETZAL, DOMÍNGUEZ COTA, EL PARAÍSO, ÁLVARO OBREGÓN, IZTAPALAPA, 09230 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,ALVARO OBREGON,PLATSOBSE_DGOIV_BALON_BARRIO_39_CANCHA_CALLE_QUETZAL_39,2577,ACTIVO,,,,,,
40,40 PILARES VILLA CID,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGOIV,OBRAS DEL MUNDIAL,2026,2026-05-20 16:58:59.242,admin,2026-03-21,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000E94317D4B7C258C040A374E95F523340,https://maps.app.goo.gl/4DZF6HfmiFjG36AQ8,"Villa Iris 112, Desarrollo Urbano Quetzalcóatl, Iztapalapa, 09700 Ciudad de México, CDMX",IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,PLATSOBSE_DGOIV_BALON_BARRIO_40_PILARES_VILLA_CID_40,2578,ACTIVO,,,,,,
41,41 CAMPO TIERRA Y LIBERTAD,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGOIV,OBRAS DEL MUNDIAL,2026,2026-05-20 16:59:22.261,admin,2026-01-04,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL 11,4050.0,TIERRA,,DGPEST,0101000020E61000007862D68BA1BE58C00F5F268A90563340,https://maps.app.goo.gl/Hmgp3vKiGc8qU6BTA,"AMP EMILIANO ZAPATA, IZTAPALAPA, 09638 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,EMILIANO ZAPATA (AMPL),PLATSOBSE_DGOIV_BALON_BARRIO_41_CAMPO_TIERRA_Y_LIBERTAD_41,2579,ACTIVO,,,,,,
276,276 DEPORTIVO LOS ANGELES,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGPEST,OBRAS DEL MUNDIAL,2026,2026-05-13 20:00:40.507,actualizacion_dgpest,2026-04-22,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000B8AF03E78CC458C0F296AB1F9B583340,https://maps.app.goo.gl/tWJVnkQWy9rKFaKD6,"ESPUELA, AV. DEL ROSAL 183, LOS ANGELES, IZTAPALAPA, 09830 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,LOS ANGELES,PLATSOBSE_DGPEST_BALON_BARRIO_276_DEPORTIVO_LOS_ANGELES_276,2557,ACTIVO,,,,,,
54,54 CANCHA 2 TORRES DE PADIERNA,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGOIV,OBRAS DEL MUNDIAL,2026,2026-05-20 01:26:23.121,admin,2026-04-01,,INAUGURADA,100.0,PAULA LOPEZ,MULTICANCHA,600.0,CONCRETO,,DGPEST,0101000020E61000000D897B2C7DCE58C00F43AB9333483340,https://maps.app.goo.gl/mQymzvGhpJfQMKMi7,"TERRITORIO TORRES, HÉROES DE PADIERNA, CIUDAD DE MÉXICO, CDMX",TLALPAN,HEROES DE PADIERNA,PLATSOBSE_DGOIV_BALON_BARRIO_54_CANCHA_2_TORRES_DE_PADIERNA_54,2588,ACTIVO,,,,,,
97,97 CAMPAMENTO 2 DE OCTUBRE,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 16:54:42.999,admin,2026-03-30,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,PASTO SINTETICO,,DGPEST,0101000020E610000053D0ED258DC758C013286211C3623340,https://maps.app.goo.gl/DKxM7KDsmfn3aSst6,"AV. JUAN N. ÁLVAREZ CAMPAMENTO 2 DE OCTUBRE, IZTACALCO",IZTACALCO,CAMPAMENTO 2 DE OCTUBRE,PLATSOBSE_DGSUS_BALON_BARRIO_97_CAMPAMENTO_2_DE_OCTUBRE_97,2593,ACTIVO,,,,,,
99,99 CAMPAMENTO 2 DE OCTUBRE,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 16:55:01.320,admin,2026-03-30,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000EC17EC866DC758C04EB857E6AD623340,https://maps.app.goo.gl/EiYVRZo7jQxEFYD58,"AV. JUAN N. ÁLVAREZ CAMPAMENTO 2 DE OCTUBRE, IZTACALCO",IZTACALCO,CAMPAMENTO 2 DE OCTUBRE,PLATSOBSE_DGSUS_BALON_BARRIO_99_CAMPAMENTO_2_DE_OCTUBRE_99,2594,ACTIVO,,,,,,
103,103 CANCHA BATALLA DE CULIACAN,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 17:00:12.463,admin,2026-04-02,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E61000007C7E18213CC258C0BB0D6ABFB55F3340,https://maps.app.goo.gl/WqbV9u1zLZ6WRSUt8,"BATALLA DE CULIACAN 16, ÁLVARO OBREGÓN, IZTAPALAPA, 09230 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,ALVARO OBREGON,PLATSOBSE_DGSUS_BALON_BARRIO_103_CANCHA_BATALLA_DE_CULIACAN_103,2595,ACTIVO,,,,,,
107,107 CANCHA CIRCUNVALACION 1,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 17:00:52.060,admin,2026-03-18,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E610000035D252793BC258C0618907944D5D3340,https://maps.app.goo.gl/kct3dR8XuQ7wKaMZ6,"EJE 5 SUR S/N, ZONA URBANA EJIDAL SANTA MARÍA AZTAHUACAN, IZTAPALAPA, 09570 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,SANTA MARIA AZTAHUACAN,PLATSOBSE_DGSUS_BALON_BARRIO_107_CANCHA_CIRCUNVALACION_1_107,2596,ACTIVO,,,,,,
108,108 CANCHA CIRCUNVALACION 2,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 17:01:08.041,admin,2026-03-18,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000632827DA55C258C0A5BC5642775D3340,https://maps.app.goo.gl/9EvfsqdkD842djma7,"EJE 5 SUR S/N, ZONA URBANA EJIDAL SANTA MARÍA AZTAHUACAN, IZTAPALAPA, 09570 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,SANTA MARIA AZTAHUACAN,PLATSOBSE_DGSUS_BALON_BARRIO_108_CANCHA_CIRCUNVALACION_2_108,2598,ACTIVO,,,,,,
